Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-08-11,4.44655,4.45951,4.42563,4.43313
2023-08-14,4.43847,4.45916,4.42892,4.44775
2023-08-15,4.44747,4.49674,4.44694,4.47486
2023-08-16,4.4739,4.47861,4.44659,4.4677
2023-08-17,4.46756,4.47826,4.46133,4.46812
2023-08-18,4.46828,4.48864,4.4577,4.45945
2023-08-21,4.46109,4.48349,4.45545,4.47651
2023-08-22,4.47641,4.47791,4.45772,4.4692
2023-08-23,4.4692,4.48588,4.462,4.46654
2023-08-24,4.46672,4.48286,4.46442,4.47948
2023-08-25,4.47966,4.47984,4.45819,4.4689
2023-08-28,4.46565,4.4809,4.46208,4.47018
2023-08-29,4.4704,4.47466,4.46268,4.4652
2023-08-30,4.46521,4.47979,4.46234,4.46742
2023-08-31,4.46653,4.47975,4.46292,4.47045
2023-09-01,4.46887,4.47728,4.46408,4.46716
2023-09-04,4.46569,4.47619,4.46227,4.47335
2023-09-05,4.47367,4.49866,4.4681,4.49131
2023-09-06,4.49092,4.58791,4.48997,4.56888
2023-09-07,4.56968,4.63065,4.56722,4.62534
2023-09-08,4.62629,4.62808,4.59524,4.61809
2023-09-11,4.61716,4.65098,4.60632,4.63878
2023-09-12,4.63931,4.69663,4.63591,4.66104
2023-09-13,4.66091,4.67679,4.60669,4.62655
2023-09-14,4.62634,4.64171,4.62052,4.63359
2023-09-15,4.63376,4.64586,4.62915,4.64571
2023-09-18,4.63854,4.64745,4.6349,4.63841
2023-09-19,4.63797,4.6623,4.63797,4.65675
2023-09-20,4.65682,4.67676,4.6083,4.62127
2023-09-21,4.62105,4.64073,4.60968,4.61416
2023-09-22,4.61457,4.61673,4.58429,4.60282
2023-09-25,4.60716,4.60962,4.58308,4.60727
2023-09-26,4.60729,4.61584,4.59845,4.60518
2023-09-27,4.60519,4.64046,4.59049,4.63325
2023-09-28,4.63295,4.64402,4.62003,4.6377
2023-09-29,4.63752,4.64175,4.61662,4.61787
2023-10-02,4.61861,4.62674,4.60474,4.61524
2023-10-03,4.61511,4.63353,4.60735,4.62717
2023-10-04,4.62651,4.64947,4.59083,4.6046
2023-10-05,4.60481,4.61119,4.58544,4.60014
2023-10-06,4.60093,4.60738,4.57417,4.57639
2023-10-09,4.57909,4.58894,4.5572,4.56548
2023-10-10,4.56547,4.57074,4.53285,4.53721
2023-10-11,4.5359,4.54176,4.5127,4.52735
2023-10-12,4.52778,4.54114,4.5204,4.5357
2023-10-13,4.53803,4.55326,4.51969,4.53296
2023-10-16,4.46886,4.50571,4.44291,4.45322
2023-10-17,4.45172,4.46113,4.40971,4.42284
2023-10-18,4.42235,4.45964,4.41999,4.45613
2023-10-19,4.45667,4.46559,4.44134,4.4556
2023-10-20,4.45478,4.46985,4.44826,4.46275
2023-10-23,4.45783,4.46999,4.45179,4.46116
2023-10-24,4.46144,4.47012,4.45548,4.46209
2023-10-25,4.4623,4.49006,4.46049,4.47559
2023-10-26,4.47561,4.48268,4.44544,4.45612
2023-10-27,4.45639,4.47985,4.44989,4.46538
2023-10-30,4.46417,4.46776,4.44533,4.44725
2023-10-31,4.4472,4.45852,4.43858,4.45689
2023-11-01,4.45704,4.48028,4.45272,4.46838
2023-11-02,4.46841,4.47103,4.44206,4.4464
2023-11-03,4.4464,4.46384,4.43745,4.45844
2023-11-06,4.45746,4.46815,4.45113,4.45743
2023-11-07,4.45792,4.46541,4.44714,4.45856
2023-11-08,4.45867,4.47199,4.427,4.4436
2023-11-09,4.44139,4.45913,4.4229,4.43267
2023-11-10,4.43433,4.44124,4.415,4.4275
2023-11-13,4.42711,4.43764,4.42273,4.42785
2023-11-14,4.42793,4.4299,4.39557,4.39784
2023-11-15,4.39856,4.40453,4.38286,4.38964
2023-11-16,4.39001,4.40854,4.3633,4.37818
2023-11-17,4.37808,4.39385,4.36568,4.38524
2023-11-20,4.38747,4.38974,4.34725,4.35122
2023-11-21,4.35359,4.38018,4.34105,4.37133
2023-11-22,4.37121,4.38262,4.36024,4.36476
2023-11-23,4.3656,4.37534,4.35657,4.3688
2023-11-24,4.36886,4.37606,4.35761,4.36818
2023-11-27,4.36731,4.37198,4.34295,4.34958
2023-11-28,4.34934,4.3555,4.31703,4.3215
2023-11-29,4.32132,4.34697,4.31802,4.34327
2023-11-30,4.34406,4.36654,4.3334,4.35274
2023-12-01,4.35246,4.36717,4.32019,4.32312
2023-12-04,4.33099,4.34284,4.32483,4.33115
2023-12-05,4.33116,4.3359,4.31647,4.3232
